"record_id","name","slug","status","platform_category","current_role","current_company","headline","bio_short","bio_long","country","city","region","timezone","primary_category","secondary_categories","specialties","seniority_level","engagement_type","industry_focus","market_focus","company_size_focus","languages","years_experience","key_contribution","notable_achievements","notable_clients_or_brands","speaking_engagements","podcasts_or_interviews","books_or_newsletters","case_studies","certifications","services_offered","problems_they_solve","ideal_for","personal_website","company_website","linkedin_url","x_url","github_url","other_social_urls","profile_image_url","source_urls","source_notes","confidence_score","last_verified_at","crawl_seed_query","crawl_priority","manual_review_notes"
"alex-galinos","Alex Galinos","alex-galinos","approved","Technical SEO","International SEO Consultant","ional SEO Consultant","","Greek SEO expert specializing in multilingual and multi-country SEO.","","","","","","Technical SEO","","","","","","","","","","Greek SEO expert specializing in multilingual and multi-country SEO.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Alex Galinos International SEO Consultant Technical SEO SEO","normal",""
"alex-horsman","Alex Horsman","alex-horsman","approved","Link Building","Founder, Sh*tty SEO Advice","Sh*tty SEO Advice","","Teaches “passive” link building – earning links without cold outreach.","","","","","","Link Building","","","","","","","","","","Teaches “passive” link building – earning links without cold outreach.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Alex Horsman Founder, Sh*tty SEO Advice Link Building SEO","normal",""
"alexandra-tachalova","Alexandra Tachalova","alexandra-tachalova","approved","Link Building","Founder, Digital Olympus","Digital Olympus","","Equally famous for her SEO memes on Twitter and insightful link outreach strategies.","","","","","","Link Building","","","","","","","","","","Equally famous for her SEO memes on Twitter and insightful link outreach strategies.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Alexandra Tachalova Founder, Digital Olympus Link Building SEO","normal",""
"aleyda-sol-s","Aleyda Solís","aleyda-sol-s","approved","Technical SEO","Founder, Orainti","Orainti","","International SEO legend & author. Blogger, YouTuber (“Crawling Mondays”), and industry thought leader.","","","","","","Technical SEO","","","","","","","","","","International SEO legend & author. Blogger, YouTuber (“Crawling Mondays”), and industry thought leader.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Aleyda Solís Founder, Orainti Technical SEO SEO","normal",""
"amanpreet-singh","Amanpreet Singh","amanpreet-singh","approved","Community & Education","SEO Trainer","","","Popular on LinkedIn for bite-sized “quick win” SEO tips.","","","","","","Community & Education","","","","","","","","","","Popular on LinkedIn for bite-sized “quick win” SEO tips.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Amanpreet Singh SEO Trainer Community & Education SEO","normal",""
"andrew-holland","Andrew Holland","andrew-holland","approved","General SEO","Director of SEO, JBH Agency","JBH Agency","","Emphasizes profit-centric SEO. Author of “The Value of SEO” illustrated book.","","","","","","General SEO","","","","","","","","","","Emphasizes profit-centric SEO. Author of “The Value of SEO” illustrated book.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Andrew Holland Director of SEO, JBH Agency General SEO SEO","normal",""
"anna-york","Anna York","anna-york","approved","AI SEO","SEO Consultant","","","AI SEO “queen”. Mastery of using GPT for keyword clustering, content briefs, etc.","","","","","","AI SEO","","","","","","","","","","AI SEO “queen”. Mastery of using GPT for keyword clustering, content briefs, etc.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Anna York SEO Consultant AI SEO SEO","normal",""
"areej-abuali","Areej AbuAli","areej-abuali","approved","Community & Education","Founder, Women in Tech SEO","Women in Tech SEO","","Community leader & technical SEO advocate. Founded the global Women in Tech SEO community.","","","","","","Community & Education","","","","","","","","","","Community leader & technical SEO advocate. Founded the global Women in Tech SEO community.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Areej AbuAli Founder, Women in Tech SEO Community & Education SEO","normal",""
"artur-perrella-glukhovskyy","Artur Perrella Glukhovskyy","artur-perrella-glukhovskyy","approved","E-commerce SEO","Founder, Ivanhoe Digital","Ivanhoe Digital","","Helps e-commerce scale with content and unique Looker Studio reports.","","","","","","E-commerce SEO","","","","","","","","","","Helps e-commerce scale with content and unique Looker Studio reports.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Artur Perrella Glukhovskyy Founder, Ivanhoe Digital E-commerce SEO SEO","normal",""
"barry-schwartz","Barry Schwartz","barry-schwartz","approved","Community & Education","Founder, Search Engine Roundtable","Search Engine Roundtable","","The industry news “first responder”. Prolific SEO news reporter since 2003.","","","","","","Community & Education","","","","","","","","","","The industry news “first responder”. Prolific SEO news reporter since 2003.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Barry Schwartz Founder, Search Engine Roundtable Community & Education SEO","normal",""
"ben-goodey","Ben Goodey","ben-goodey","approved","Content SEO","Founder, “How the Fxck” Community","“How the Fxck” Community","","Leads podcast/newsletter for content marketers. Shares SOPs for efficient content ops.","","","","","","Content SEO","","","","","","","","","","Leads podcast/newsletter for content marketers. Shares SOPs for efficient content ops.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Ben Goodey Founder, “How the Fxck” Community Content SEO SEO","normal",""
"bill-gaule","Bill Gaule","bill-gaule","approved","AI SEO","Co-founder & SEO Director, SERPsculpt","SERPsculpt","","Helped many SaaS firms rank and convert. Shares how to leverage AI in content and SEO for B2B wins.","","","","","","AI SEO","","","","","","","","","","Helped many SaaS firms rank and convert. Shares how to leverage AI in content and SEO for B2B wins.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Bill Gaule Co-founder & SEO Director, SERPsculpt AI SEO SEO","normal",""
"brodie-clark","Brodie Clark","brodie-clark","approved","E-commerce SEO","Independent SEO Consultant","","","Analyzes Google tests and SERP feature changes for e-commerce SEO. Australia’s best-known SEO name.","","","","","","E-commerce SEO","","","","","","","","","","Analyzes Google tests and SERP feature changes for e-commerce SEO. Australia’s best-known SEO name.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Brodie Clark Independent SEO Consultant E-commerce SEO SEO","normal",""
"charles-floate","Charles Floate","charles-floate","approved","General SEO","SEO Consultant","","","Known for grey-hat tactics and a large industry following. Dubbed “SEO Darth Vader”.","","","","","","General SEO","","","","","","","","","","Known for grey-hat tactics and a large industry following. Dubbed “SEO Darth Vader”.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Charles Floate SEO Consultant General SEO SEO","normal",""
"chris-lever","Chris Lever","chris-lever","approved","Technical SEO","Head of Technical SEO, Bring Digital","Bring Digital","","Runs bold technical SEO experiments (site speed, MCP servers, etc.) and shares findings for e-commerce clients.","","","","","","Technical SEO","","","","","","","","","","Runs bold technical SEO experiments (site speed, MCP servers, etc.) and shares findings for e-commerce clients.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Chris Lever Head of Technical SEO, Bring Digital Technical SEO SEO","normal",""
"chris-long","Chris Long","chris-long","approved","Technical SEO","VP of Marketing, Go Fish Digital","Go Fish Digital","","Known for deep knowledge of Google’s algorithm and technical site audits.","","","","","","Technical SEO","","","","","","","","","","Known for deep knowledge of Google’s algorithm and technical site audits.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Chris Long VP of Marketing, Go Fish Digital Technical SEO SEO","normal",""
"connor-gillivan","Connor Gillivan","connor-gillivan","approved","Content SEO","SEO & LinkedIn Consistency Coach","","","Emphasizes consistency in posting to build brand and improve search presence.","","","","","","Content SEO","","","","","","","","","","Emphasizes consistency in posting to build brand and improve search presence.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Connor Gillivan SEO & LinkedIn Consistency Coach Content SEO SEO","normal",""
"craig-dewart","Craig Dewart","craig-dewart","approved","General SEO","SEO Generalist","","","Veteran who’s “done it all” in SEO. Provides a balanced perspective to newcomers.","","","","","","General SEO","","","","","","","","","","Veteran who’s “done it all” in SEO. Provides a balanced perspective to newcomers.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Craig Dewart SEO Generalist General SEO SEO","normal",""
"cyrus-shepard","Cyrus Shepard","cyrus-shepard","approved","Technical SEO","Founder, Zyppy SEO","Zyppy SEO","","Expert on Google’s inner workings and ranking factors. The ""infiltrator"".","","","","","","Technical SEO","","","","","","","","","","Expert on Google’s inner workings and ranking factors. The ""infiltrator"".","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Cyrus Shepard Founder, Zyppy SEO Technical SEO SEO","normal",""
"daniel-foley-carter","Daniel Foley Carter","daniel-foley-carter","approved","Technical SEO","SEO Consultant & Auditor","","","Renowned for comprehensive site audits and process-driven SEO implementations. The audit “king”.","","","","","","Technical SEO","","","","","","","","","","Renowned for comprehensive site audits and process-driven SEO implementations. The audit “king”.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Daniel Foley Carter SEO Consultant & Auditor Technical SEO SEO","normal",""
"darren-shaw","Darren Shaw","darren-shaw","approved","Local SEO","Founder, Whitespark","Whitespark","","Specializes in local search software and services. Leads research initiatives like the Local Search Ranking Factors survey.","","","","","","Local SEO","","","","","","","","","","Specializes in local search software and services. Leads research initiatives like the Local Search Ranking Factors survey.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Darren Shaw Founder, Whitespark Local SEO SEO","normal",""
"davor-bome-tar","Davor Bomeštar","davor-bome-tar","approved","Content SEO","Content Operations Expert","ions Expert","","Process “god” of content SEO. Developed high-volume content processes at several agencies.","","","","","","Content SEO","","","","","","","","","","Process “god” of content SEO. Developed high-volume content processes at several agencies.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Davor Bomeštar Content Operations Expert Content SEO SEO","normal",""
"devansh-parashar-dev","Devansh Parashar (Dev)","devansh-parashar-dev","approved","Content SEO","SEO Case Study Analyst","","","Spends 20+ hours/week researching how leading sites do SEO. Shares ~3 case studies weekly.","","","","","","Content SEO","","","","","","","","","","Spends 20+ hours/week researching how leading sites do SEO. Shares ~3 case studies weekly.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Devansh Parashar (Dev) SEO Case Study Analyst Content SEO SEO","normal",""
"diandra-escobar","Diandra Escobar","diandra-escobar","approved","Content SEO","CEO, Contact Studios","Contact Studios","","Builds “content flywheels” for B2B growth. Sourced $170K+ ACV via content.","","","","","","Content SEO","","","","","","","","","","Builds “content flywheels” for B2B growth. Sourced $170K+ ACV via content.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Diandra Escobar CEO, Contact Studios Content SEO SEO","normal",""
"elena-dyulgerova","Elena Dyulgerova","elena-dyulgerova","approved","Content SEO","Senior SEO Growth Strategist","egist","","Helps SaaS companies drive MRR and signups through content and link strategies.","","","","","","Content SEO","","","","","","","","","","Helps SaaS companies drive MRR and signups through content and link strategies.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Elena Dyulgerova Senior SEO Growth Strategist Content SEO SEO","normal",""
"eli-schwartz","Eli Schwartz","eli-schwartz","approved","General SEO","Growth Advisor & Author","","","Author of “Product-Led SEO”, promoting a user-centric SEO mindset.","","","","","","General SEO","","","","","","","","","","Author of “Product-Led SEO”, promoting a user-centric SEO mindset.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Eli Schwartz Growth Advisor & Author General SEO SEO","normal",""
"elie-berreby","Elie Berreby","elie-berreby","approved","Technical SEO","Senior SEO Strategist","egist","","18+ years in SEO for global enterprises. Specializes in technical site architecture and international SEO.","","","","","","Technical SEO","","","","","","","","","","18+ years in SEO for global enterprises. Specializes in technical site architecture and international SEO.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Elie Berreby Senior SEO Strategist Technical SEO SEO","normal",""
"erin-balsa","Erin Balsa","erin-balsa","approved","Content SEO","Founder, Bland to Bold","Bland to Bold","","Erin Balsa is a content marketing strategist specializing in helping B2B SaaS companies develop sales-led inbound marketing strategies. She is the founder of Haus of Bold (now Bland to Bold), where she offers marketing advisory services. With over 13 years of experience, she has partnered with well-known brands like HubSpot, Drift, G2, and Zapier.","","","","","","Content SEO","","","","","","","","","","Helps B2B startups create bold content. Creator of Bland to Bold framework.","","","","","","","","","","","https://www.blandtobold.co/","","https://www.linkedin.com/in/erinbalsa/","","","","","https://www.blandtobold.co/ | https://www.linkedin.com/in/erinbalsa/","Populate with verifiable public data only.","","","Erin Balsa Founder, Bland to Bold Content SEO SEO","normal",""
"fery-kaszoni","Fery Kaszoni","fery-kaszoni","approved","Link Building","Founder, Search Intelligence Ltd","Search Intelligence Ltd","","Leads a 100+ person digital PR agency specializing in research-based campaigns.","","","","","","Link Building","","","","","","","","","","Leads a 100+ person digital PR agency specializing in research-based campaigns.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Fery Kaszoni Founder, Search Intelligence Ltd Link Building SEO","normal",""
"francesco-baldini","Francesco Baldini","francesco-baldini","approved","General SEO","SEO Strategist & Blogger","egist & Blogger","","Shares late-night “3AM SEO thoughts”. Encourages questioning mainstream SEO “best practices.”","","","","","","General SEO","","","","","","","","","","Shares late-night “3AM SEO thoughts”. Encourages questioning mainstream SEO “best practices.”","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Francesco Baldini SEO Strategist & Blogger General SEO SEO","normal",""
"gael-breton","Gael Breton","gael-breton","approved","AI SEO","Co-founder, Authority Hacker","Authority Hacker","","Built an 8-figure biz with 7 people using AI. Hosts Authority Hacker Podcast.","","","","","","AI SEO","","","","","","","","","","Built an 8-figure biz with 7 people using AI. Hosts Authority Hacker Podcast.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Gael Breton Co-founder, Authority Hacker AI SEO SEO","normal",""
"georgia-tan","Georgia Tan","georgia-tan","approved","General SEO","Co-founder & Head of Search","","","Pioneering SXO (Search Experience Optimization) consultancy blending UX, CRO, and SEO.","","","","","","General SEO","","","","","","","","","","Pioneering SXO (Search Experience Optimization) consultancy blending UX, CRO, and SEO.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Georgia Tan Co-founder & Head of Search General SEO SEO","normal",""
"gerrid-smith","Gerrid Smith","gerrid-smith","approved","General SEO","Founder & CEO, Fortress Growth","Fortress Growth","","Known for distilling tactics into cheat sheets and focusing on business KPIs (leads, revenue).","","","","","","General SEO","","","","","","","","","","Known for distilling tactics into cheat sheets and focusing on business KPIs (leads, revenue).","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Gerrid Smith Founder & CEO, Fortress Growth General SEO SEO","normal",""
"ian-carroll","Ian Carroll","ian-carroll","approved","General SEO","SEO Consultant","","","Known for memorable SEO case studies (e.g., “from 0 to 100K with no link building”).","","","","","","General SEO","","","","","","","","","","Known for memorable SEO case studies (e.g., “from 0 to 100K with no link building”).","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Ian Carroll SEO Consultant General SEO SEO","normal",""
"itamar-blauer","Itamar Blauer","itamar-blauer","approved","General SEO","Senior SEO Director, StudioHawk","StudioHawk","","Hosts “SEO Unplugged” podcast discussing latest trends and tools.","","","","","","General SEO","","","","","","","","","","Hosts “SEO Unplugged” podcast discussing latest trends and tools.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Itamar Blauer Senior SEO Director, StudioHawk General SEO SEO","normal",""
"ivan-palii","Ivan Palii","ivan-palii","approved","Technical SEO","Head of Product, Sitechecker","Sitechecker","","Creates popular, free Looker Studio templates for SEO reporting.","","","","","","Technical SEO","","","","","","","","","","Creates popular, free Looker Studio templates for SEO reporting.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Ivan Palii Head of Product, Sitechecker Technical SEO SEO","normal",""
"ivan-radica","Ivan Radica","ivan-radica","approved","E-commerce SEO","Co-founder & CMO, SEO LICK","SEO LICK","","Runs an agency scaling small-to-mid e-commerce brands via SEO.","","","","","","E-commerce SEO","","","","","","","","","","Runs an agency scaling small-to-mid e-commerce brands via SEO.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Ivan Radica Co-founder & CMO, SEO LICK E-commerce SEO SEO","normal",""
"jairo-guerrero","Jairo Guerrero","jairo-guerrero","approved","General SEO","Founder, Organic Hackers","Organic Hackers","","Known for creative, sometimes unconventional SEO tactics. The “insane strategies” guy.","","","","","","General SEO","","","","","","","","","","Known for creative, sometimes unconventional SEO tactics. The “insane strategies” guy.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Jairo Guerrero Founder, Organic Hackers General SEO SEO","normal",""
