"record_id","name","slug","status","platform_category","current_role","current_company","headline","bio_short","bio_long","country","city","region","timezone","primary_category","secondary_categories","specialties","seniority_level","engagement_type","industry_focus","market_focus","company_size_focus","languages","years_experience","key_contribution","notable_achievements","notable_clients_or_brands","speaking_engagements","podcasts_or_interviews","books_or_newsletters","case_studies","certifications","services_offered","problems_they_solve","ideal_for","personal_website","company_website","linkedin_url","x_url","github_url","other_social_urls","profile_image_url","source_urls","source_notes","confidence_score","last_verified_at","crawl_seed_query","crawl_priority","manual_review_notes"
"mersudin-forbes","Mersudin Forbes","mersudin-forbes","approved","Technical SEO","SEO Advisor","","","Advises agencies & startups on SEO. Renowned for his blunt, no-nonsense SEO advice and mentorship.","","","","","","Technical SEO","","","","","","","","","","Advises agencies & startups on SEO. Renowned for his blunt, no-nonsense SEO advice and mentorship.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Mersudin Forbes SEO Advisor Technical SEO SEO","normal",""
"michael-king","Michael King","michael-king","approved","AI SEO","Founder & CEO, iPullRank","iPullRank","","Technical SEO GOAT. Pioneered the fusion of AI, automation, and SEO.","","","","","","AI SEO","","","","","","","","","","Technical SEO GOAT. Pioneered the fusion of AI, automation, and SEO.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Michael King Founder & CEO, iPullRank AI SEO SEO","normal",""
"natalia-witczyk","Natalia Witczyk","natalia-witczyk","approved","Technical SEO","CEO, Mosquita Digital","Mosquita Digital","","International SEO “maestra” with expertise in Google, Yandex, Baidu SEO.","","","","","","Technical SEO","","","","","","","","","","International SEO “maestra” with expertise in Google, Yandex, Baidu SEO.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Natalia Witczyk CEO, Mosquita Digital Technical SEO SEO","normal",""
"natalie-slater","Natalie Slater","natalie-slater","approved","General SEO","Freelance SEO Consultant","","","Offers enterprise audits, technical SEO, and digital PR. Active mentor and Women in Tech SEO contributor.","","","","","","General SEO","","","","","","","","","","Offers enterprise audits, technical SEO, and digital PR. Active mentor and Women in Tech SEO contributor.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Natalie Slater Freelance SEO Consultant General SEO SEO","normal",""
"nathan-gotch","Nathan Gotch","nathan-gotch","approved","Community & Education","Founder, Gotch SEO Academy","Gotch SEO Academy","","SEO trainer for agencies. Known for his “Become the SEO client’s trust” approach.","","","","","","Community & Education","","","","","","","","","","SEO trainer for agencies. Known for his “Become the SEO client’s trust” approach.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Nathan Gotch Founder, Gotch SEO Academy Community & Education SEO","normal",""
"nick-jordan","Nick Jordan","nick-jordan","approved","Content SEO","CEO, ContentDistribution","ContentDistribution","","Grew multiple sites to 100K+ organics/month. Founded “Fat Graph Content Ops” community.","","","","","","Content SEO","","","","","","","","","","Grew multiple sites to 100K+ organics/month. Founded “Fat Graph Content Ops” community.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Nick Jordan CEO, ContentDistribution Content SEO SEO","normal",""
"nick-leroy","Nick LeRoy","nick-leroy","approved","Community & Education","SEO Consultant & Job Hunting Expert","","","Created the popular #SEOJob of the Week newsletter.","","","","","","Community & Education","","","","","","","","","","Created the popular #SEOJob of the Week newsletter.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Nick LeRoy SEO Consultant & Job Hunting Expert Community & Education SEO","normal",""
"nick-zviadadze","Nick Zviadadze","nick-zviadadze","approved","Content SEO","Founder, MintSEO","MintSEO","","Known for daily LinkedIn carousels sharing SEO tips and scaling SaaS startups’ organic growth.","","","","","","Content SEO","","","","","","","","","","Known for daily LinkedIn carousels sharing SEO tips and scaling SaaS startups’ organic growth.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Nick Zviadadze Founder, MintSEO Content SEO SEO","normal",""
"olaf-kopp","Olaf Kopp","olaf-kopp","approved","Technical SEO","Co-founder, Aufgesang GmbH","Aufgesang GmbH","","Internationally recognized for analyzing Google patents and advancing semantic SEO theory.","","","","","","Technical SEO","","","","","","","","","","Internationally recognized for analyzing Google patents and advancing semantic SEO theory.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Olaf Kopp Co-founder, Aufgesang GmbH Technical SEO SEO","normal",""
"olga-zarr","Olga Zarr","olga-zarr","approved","Technical SEO","Founder, SEOSLY","SEOSLY","","Renowned for her exhaustive SEO audit checklists and tutorials. The “audit queen”.","","","","","","Technical SEO","","","","","","","","","","Renowned for her exhaustive SEO audit checklists and tutorials. The “audit queen”.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Olga Zarr Founder, SEOSLY Technical SEO SEO","normal",""
"orit-mutznik","Orit Mutznik","orit-mutznik","approved","Technical SEO","Head of Organic Search, Farfetch","Farfetch","","Expert in big-site technical SEO and digital PR for authority building.","","","","","","Technical SEO","","","","","","","","","","Expert in big-site technical SEO and digital PR for authority building.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Orit Mutznik Head of Organic Search, Farfetch Technical SEO SEO","normal",""
"patryk-wawok","Patryk Wawok","patryk-wawok","approved","E-commerce SEO","SEO Consultant (E-commerce)","","","E-commerce technical SEO specialist. Curated this “100 Greatest SEOs” list.","","","","","","E-commerce SEO","","","","","","","","","","E-commerce technical SEO specialist. Curated this “100 Greatest SEOs” list.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Patryk Wawok SEO Consultant (E-commerce) E-commerce SEO SEO","normal",""
"peter-rota","Peter Rota","peter-rota","approved","Technical SEO","Senior Technical SEO Manager","","","Known for candid “tough guy” take on SEO myths. Specializes in technical audits.","","","","","","Technical SEO","","","","","","","","","","Known for candid “tough guy” take on SEO myths. Specializes in technical audits.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Peter Rota Senior Technical SEO Manager Technical SEO SEO","normal",""
"rand-fishkin","Rand Fishkin","rand-fishkin","approved","Community & Education","Co-founder & CEO, SparkToro","SparkToro","","“SEO Legend”. Co-founded Moz. Industry pioneer in SEO tools and community building.","","","","","","Community & Education","","","","","","","","","","“SEO Legend”. Co-founded Moz. Industry pioneer in SEO tools and community building.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Rand Fishkin Co-founder & CEO, SparkToro Community & Education SEO","normal",""
"rob-hoffman","Rob Hoffman","rob-hoffman","approved","AI SEO","Co-founder & CEO, Contact Studios","Contact Studios","","Builds AI-powered workflows to codify SEO knowledge into visuals.","","","","","","AI SEO","","","","","","","","","","Builds AI-powered workflows to codify SEO knowledge into visuals.","","","","","","","","","","","","","","","","","","","Populate with verifiable public data only.","","","Rob Hoffman Co-founder & CEO, Contact Studios AI SEO SEO","normal",""
